Type,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Exp Date
Call,155,-29.44%,0.01,0.01,0.01,0.01,-0.01,-50.00%,84,"4,185",0.02,0.00%,01/04/2021
Call,160,-33.61%,0.01,0.01,0.01,0.01,0,unch,6,"2,437",0,0.00%,01/04/2021
Call,165,-37.79%,0.01,0.01,0.01,0.01,0,unch,32,919,0.03,0.00%,01/04/2021
Call,170,-41.96%,0.01,0.01,0.01,0.01,0,unch,3,323,0.01,0.00%,01/04/2021
Call,175,-46.14%,0.01,0.01,0.01,0.02,0.01,100.00%,30,603,0.05,0.00%,01/04/2021
Call,180,-50.31%,0.02,0.02,0.01,0.01,0,unch,248,"1,945",0.13,0.00%,01/04/2021
Call,185,-54.49%,0.01,0.01,0.01,0.01,0,unch,94,738,0.13,0.00%,01/04/2021
Call,190,-58.66%,0.02,0.02,0.01,0.01,0,unch,1,"1,104",0,0.00%,01/04/2021
Put,60,-49.90%,0.01,0.01,0.01,0.01,0,unch,5,12,0.42,0.00%,01/04/2021
Put,65,-45.72%,0.01,0.01,0.01,0.01,-0.03,-75.00%,2,"1,415",0,0.00%,01/04/2021
Put,70,-41.54%,0.01,0.01,0.01,0.01,0,unch,10,50,0.2,0.00%,01/04/2021
Put,75,-37.37%,0.01,0.01,0.01,0.01,0,unch,10,225,0.04,0.00%,01/04/2021
Put,80,-33.19%,0.01,0.01,0.01,0.01,0,unch,2,771,0,0.00%,01/04/2021
Put,85,-29.02%,0.02,0.02,0.01,0.01,0,unch,100,"1,804",0.06,88.82%,01/04/2021
Put,90,-24.84%,0.01,0.01,0.01,0.01,0,unch,116,481,0.24,75.11%,01/04/2021
Put,95,-20.67%,0.01,0.02,0.02,0.02,0.01,100.00%,144,959,0.15,66.84%,01/04/2021
Put,98,-18.16%,0.02,0.03,0.03,0.04,0.02,100.00%,551,33,16.7,60.31%,01/04/2021
Put,99,-17.33%,0.03,0.04,0.04,0.03,-0.01,-25.00%,15,58,0.26,58.91%,01/04/2021
Put,100,-16.49%,0.03,0.04,0.04,0.04,0.01,33.33%,361,"2,098",0.17,58.32%,01/04/2021
Put,101,-15.66%,0.04,0.05,0.05,0.05,0.01,25.00%,6,81,0.07,57.24%,01/04/2021
Put,102,-14.82%,0.05,0.06,0.06,0.05,0,unch,47,66,0.71,54.35%,01/04/2021
Put,103,-13.99%,0.06,0.07,0.07,0.08,0.03,60.00%,11,7,1.57,53.54%,01/04/2021
Put,104,-13.15%,0.07,0.08,0.08,0.08,0.01,14.29%,337,86,3.92,52.29%,01/04/2021
Put,105,-12.32%,0.09,0.1,0.1,0.1,0.01,11.11%,275,"2,626",0.1,51.17%,01/04/2021
Put,106,-11.48%,0.1,0.11,0.11,0.11,0.02,22.22%,30,"1,331",0.02,48.89%,01/04/2021
Put,107,-10.65%,0.12,0.13,0.13,0.11,-0.02,-15.38%,124,544,0.23,46.85%,01/04/2021
Put,108,-9.81%,0.14,0.15,0.15,0.13,-0.02,-13.33%,243,771,0.32,44.95%,01/04/2021
Put,109,-8.98%,0.17,0.18,0.18,0.18,0.01,5.88%,121,950,0.13,43.63%,01/04/2021
Put,110,-8.14%,0.2,0.21,0.21,0.21,0,unch,"1,676","3,281",0.51,41.67%,01/04/2021
Put,111,-7.31%,0.24,0.25,0.25,0.26,0,unch,179,"1,022",0.18,39.65%,01/04/2021
Put,112,-6.47%,0.29,0.3,0.31,0.3,-0.01,-3.23%,"1,052","3,513",0.3,38.03%,01/04/2021
Put,113,-5.64%,0.37,0.38,0.38,0.4,0.01,2.56%,359,"1,212",0.3,36.59%,01/04/2021
Put,114,-4.80%,0.46,0.47,0.48,0.49,0,unch,"1,634","1,961",0.83,35.13%,01/04/2021
Put,115,-3.97%,0.6,0.61,0.61,0.62,0.01,1.64%,"6,391","6,353",1.01,33.99%,01/04/2021
Put,116,-3.13%,0.77,0.78,0.78,0.79,-0.03,-3.66%,"1,375","3,291",0.42,32.81%,01/04/2021
Put,117,-2.30%,0.99,1,1,1.01,-0.05,-4.72%,"4,452","3,678",1.21,31.71%,01/04/2021
Put,118,-1.46%,1.27,1.28,1.29,1.28,-0.02,-1.54%,"9,717","5,061",1.92,30.76%,01/04/2021
Put,119,-0.63%,1.63,1.64,1.65,1.65,-0.03,-1.79%,"9,848","3,146",3.13,30.08%,01/04/2021
Put,120,0.21%,2.08,2.09,2.1,2.07,-0.03,-1.43%,"8,422","13,646",0.62,29.29%,01/04/2021
Put,121,1.04%,2.59,2.61,2.62,2.58,-0.05,-1.90%,"2,410","10,516",0.23,28.40%,01/04/2021
Put,122,1.88%,3.2,3.23,3.25,3.22,0.07,2.22%,"1,350","4,712",0.29,27.73%,01/04/2021
Put,123,2.71%,3.85,3.9,3.95,4.01,0.26,6.93%,"1,618","4,986",0.32,26.73%,01/04/2021
Put,124,3.55%,4.6,4.65,4.7,4.76,0.51,12.00%,431,"2,336",0.18,25.41%,01/04/2021
Put,125,4.38%,5.45,5.5,5.55,5.48,0.13,2.43%,491,"6,123",0.08,24.06%,01/04/2021
Put,126,5.22%,6.3,6.38,6.45,6.55,0.63,10.64%,144,816,0.18,22.56%,01/04/2021
Put,127,6.05%,7.25,7.3,7.35,7.47,0.47,6.71%,171,738,0.23,17.18%,01/04/2021
Put,128,6.89%,8.2,8.27,8.35,8.25,0.39,4.96%,539,"1,573",0.34,26.13%,01/04/2021
Put,129,7.72%,9.15,9.2,9.25,9.27,0.7,8.17%,83,"5,522",0.02,0.00%,01/04/2021
Put,130,8.56%,10.15,10.23,10.3,10,0.14,1.42%,710,"5,677",0.13,23.07%,01/04/2021
Put,131,9.39%,11.15,11.23,11.3,11.94,1.57,15.14%,9,430,0.02,24.96%,01/04/2021
Put,132,10.23%,12.1,12.18,12.25,11.72,0.37,3.26%,37,444,0.08,0.00%,01/04/2021
Put,133,11.06%,13.1,13.15,13.2,12.89,0.94,7.87%,17,356,0.05,0.00%,01/04/2021
Put,134,11.90%,14.1,14.15,14.2,14.2,0.48,3.50%,12,380,0.03,0.00%,01/04/2021
Put,135,12.73%,15.1,15.18,15.25,15.29,0.59,4.01%,62,"2,130",0.03,0.00%,01/04/2021
Put,136,13.57%,16.1,16.15,16.2,15.89,0.45,2.91%,4,590,0.01,0.00%,01/04/2021
Put,137,14.41%,17.1,17.18,17.25,16.74,0.87,5.48%,6,326,0.02,0.00%,01/04/2021
Put,138,15.24%,18.05,18.13,18.2,18.3,1.25,7.33%,15,169,0.09,0.00%,01/04/2021
Put,139,16.08%,19.05,19.13,19.2,19.17,1.48,8.37%,28,86,0.33,0.00%,01/04/2021
Put,140,16.91%,20.1,20.18,20.25,19.9,0.5,2.58%,9,253,0.04,0.00%,01/04/2021
Put,141,17.75%,21.05,21.13,21.2,19.75,-0.39,-1.94%,28,21,1.33,0.00%,01/04/2021
Put,142,18.58%,22.1,22.18,22.25,22.14,3.79,20.65%,7,44,0.16,0.00%,01/04/2021
Put,143,19.42%,23.1,23.18,23.25,22.06,2.66,13.71%,10,7,1.43,0.00%,01/04/2021
Put,144,20.25%,24.05,24.13,24.2,20.65,-2.69,-11.53%,20,100,0.2,0.00%,01/04/2021
Put,145,21.09%,25.1,25.18,25.25,22.12,0.67,3.12%,1,2,0.5,0.00%,01/04/2021
Put,146,21.92%,26.1,26.18,26.25,0,0,unch,0,0,0,0.00%,01/04/2021
Put,147,22.76%,27.05,27.13,27.2,19.1,1.25,7.00%,5,2,2.5,0.00%,01/04/2021
Put,148,23.59%,28.1,28.18,28.25,26.8,2.43,9.97%,8,21,0.38,0.00%,01/04/2021
Put,149,24.43%,29.1,29.18,29.25,25.89,4.33,20.08%,10,11,0.91,0.00%,01/04/2021
Put,150,25.26%,30.15,30.25,30.35,29.93,2.99,11.10%,14,9,1.56,72.32%,01/04/2021
Put,155,29.44%,35.1,35.18,35.25,28.35,-5.62,-16.54%,5,5,1,0.00%,01/04/2021
Put,160,33.61%,40.05,40.13,40.2,33.37,2.19,7.02%,30,1,30,0.00%,01/04/2021
Put,165,37.79%,45.05,45.13,45.2,41,-0.45,-1.09%,40,40,1,0.00%,01/04/2021
Put,170,41.96%,49.7,50.1,50.5,50.4,7.35,17.07%,21,41,0.51,126.14%,01/04/2021
Put,175,46.14%,55.1,55.18,55.25,55.5,0.35,0.63%,20,60,0.33,0.00%,01/04/2021
Put,180,50.31%,60.05,60.13,60.2,60.2,3.51,6.19%,1,1,1,0.00%,01/04/2021
Put,185,54.49%,65.05,65.13,65.2,59.15,-1.15,-1.91%,2,40,0.05,0.00%,01/04/2021
Put,190,58.66%,70.05,70.13,70.2,66.88,3.68,5.82%,1,41,0.02,0.00%,01/04/2021
