Type,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Exp Date
Call,60,49.90%,59.65,60.03,60.4,61.72,-1.4,-2.22%,1,103,0.01,259.60%,01/04/2021
Call,65,45.72%,54.45,54.7,54.95,57.9,-4.04,-6.52%,1,11,0.09,222.42%,01/04/2021
Call,70,41.54%,49.8,49.85,49.9,51.25,-1.5,-2.84%,2,15,0.13,182.39%,01/04/2021
Call,75,37.37%,44.75,44.83,44.9,48.35,48.35,unch,1,1,1,156.72%,01/04/2021
Call,80,33.19%,39.8,39.88,39.95,40.15,40.15,unch,10,10,1,145.17%,01/04/2021
Call,85,29.02%,34.8,34.85,34.9,37.8,0.5,1.34%,179,187,0.96,122.67%,01/04/2021
Call,90,24.84%,29.8,29.88,29.95,31.85,1.05,3.41%,10,976,0.01,107.61%,01/04/2021
Call,95,20.67%,24.8,24.9,25,25.33,-3.67,-12.66%,1,14,0.07,92.26%,01/04/2021
Call,98,18.16%,21.85,21.93,22,22.5,-2.55,-10.18%,3,2,1.5,83.69%,01/04/2021
Call,99,17.33%,20.85,20.93,21,0,0,unch,0,0,0,80.16%,01/04/2021
Call,100,16.49%,19.85,19.93,20,20.25,-0.1,-0.49%,58,97,0.6,76.65%,01/04/2021
Call,101,15.66%,18.85,18.93,19,19.15,19.15,unch,6,0,0,73.16%,01/04/2021
Call,102,14.82%,17.9,17.95,18,18.3,-1.65,-8.27%,2,1,2,71.25%,01/04/2021
Call,103,13.99%,16.85,16.93,17,0,0,unch,0,0,0,66.20%,01/04/2021
Call,104,13.15%,15.9,15.98,16.05,19.95,19.95,unch,4,2,2,65.59%,01/04/2021
Call,105,12.32%,14.9,14.98,15.05,15.03,-1.2,-7.39%,6,67,0.09,64.73%,01/04/2021
Call,106,11.48%,13.9,13.95,14,16.25,1.46,9.87%,21,18,1.17,57.16%,01/04/2021
Call,107,10.65%,12.95,13.02,13.1,13.75,-0.06,-0.43%,1,204,0,57.16%,01/04/2021
Call,108,9.81%,12,12.05,12.1,11.61,-4.34,-27.21%,20,86,0.23,54.51%,01/04/2021
Call,109,8.98%,11,11.05,11.1,11.54,-1.23,-9.63%,80,17,4.71,50.77%,01/04/2021
Call,110,8.14%,10.05,10.1,10.15,10,-0.8,-7.41%,369,"1,125",0.33,48.80%,01/04/2021
Call,111,7.31%,9.1,9.15,9.2,9.25,-0.57,-5.80%,77,95,0.81,46.53%,01/04/2021
Call,112,6.47%,8.15,8.2,8.25,8.1,-0.7,-7.95%,15,270,0.06,44.00%,01/04/2021
Call,113,5.64%,7.2,7.25,7.3,7.35,-0.5,-6.37%,25,214,0.12,41.20%,01/04/2021
Call,114,4.80%,6.3,6.35,6.4,6.5,-1,-13.33%,34,209,0.16,39.31%,01/04/2021
Call,115,3.97%,5.45,5.5,5.55,5.45,-0.33,-5.71%,740,"1,004",0.74,36.94%,01/04/2021
Call,116,3.13%,4.6,4.65,4.7,4.44,-0.61,-12.08%,472,481,0.98,36.01%,01/04/2021
Call,117,2.30%,3.85,3.9,3.95,3.85,-0.5,-11.49%,693,"2,606",0.27,34.27%,01/04/2021
Call,118,1.46%,3.15,3.18,3.2,3.17,-0.63,-16.58%,920,"1,402",0.66,33.69%,01/04/2021
Call,119,0.63%,2.51,2.53,2.55,2.51,-0.37,-12.85%,"6,378","1,976",3.23,32.42%,01/04/2021
Call,120,-0.21%,1.95,1.96,1.98,1.94,-0.33,-14.54%,"18,406","6,115",3.01,31.84%,01/04/2021
Call,121,-1.04%,1.47,1.48,1.49,1.47,-0.31,-17.42%,"10,882","18,778",0.58,30.86%,01/04/2021
Call,122,-1.88%,1.08,1.09,1.1,1.09,-0.24,-18.05%,"8,926","11,803",0.76,30.47%,01/04/2021
Call,123,-2.71%,0.77,0.78,0.79,0.76,-0.24,-24.00%,"7,512","8,437",0.89,30.02%,01/04/2021
Call,124,-3.55%,0.54,0.55,0.55,0.53,-0.19,-26.39%,"7,994","8,101",0.99,29.71%,01/04/2021
Call,125,-4.38%,0.37,0.38,0.39,0.38,-0.15,-28.30%,"19,177","19,406",0.99,29.72%,01/04/2021
Call,126,-5.22%,0.25,0.26,0.26,0.27,-0.1,-27.03%,"4,286","9,808",0.44,29.61%,01/04/2021
Call,127,-6.05%,0.18,0.19,0.19,0.19,-0.07,-26.92%,"3,414","9,668",0.35,30.46%,01/04/2021
Call,128,-6.89%,0.14,0.15,0.15,0.14,-0.06,-30.00%,"1,509","8,953",0.17,31.22%,01/04/2021
Call,129,-7.72%,0.1,0.11,0.11,0.11,-0.03,-21.43%,713,"4,397",0.16,32.36%,01/04/2021
Call,130,-8.56%,0.08,0.08,0.09,0.08,-0.03,-27.27%,"7,117","15,862",0.45,32.97%,01/04/2021
Call,131,-9.39%,0.06,0.07,0.07,0.07,-0.01,-12.50%,"2,650","4,895",0.54,34.63%,01/04/2021
Call,132,-10.23%,0.05,0.06,0.06,0.05,-0.02,-28.57%,222,"3,760",0.06,35.06%,01/04/2021
Call,133,-11.06%,0.04,0.05,0.05,0.05,0,unch,310,"3,535",0.09,37.31%,01/04/2021
Call,134,-11.90%,0.04,0.05,0.05,0.04,-0.01,-20.00%,427,"4,479",0.1,38.24%,01/04/2021
Call,135,-12.73%,0.03,0.04,0.04,0.03,-0.01,-25.00%,406,"8,131",0.05,38.79%,01/04/2021
Call,136,-13.57%,0.02,0.03,0.03,0.03,0,unch,348,"3,512",0.1,40.83%,01/04/2021
Call,137,-14.41%,0.02,0.03,0.03,0.02,-0.01,-33.33%,247,"4,339",0.06,40.69%,01/04/2021
Call,138,-15.24%,0.02,0.03,0.03,0.03,0,unch,31,"6,970",0,44.81%,01/04/2021
Call,139,-16.08%,0.02,0.03,0.03,0.02,0,unch,622,"1,807",0.34,44.47%,01/04/2021
Call,140,-16.91%,0.01,0.02,0.02,0.01,-0.01,-50.00%,725,"21,929",0.03,42.87%,01/04/2021
Call,141,-17.75%,0.01,0.02,0.02,0.01,-0.01,-50.00%,41,"6,511",0.01,44.59%,01/04/2021
Call,142,-18.58%,0.01,0.02,0.02,0.01,0,unch,289,"3,141",0.09,46.29%,01/04/2021
Call,143,-19.42%,0.01,0.02,0.02,0.01,0,unch,24,"2,035",0.01,47.98%,01/04/2021
Call,144,-20.25%,0.01,0.02,0.02,0.01,-0.01,-50.00%,11,"1,525",0.01,49.64%,01/04/2021
Call,145,-21.09%,0.01,0.02,0.02,0.01,0,unch,47,"5,855",0.01,51.29%,01/04/2021
Call,146,-21.92%,0.01,0.02,0.02,0.01,-0.01,-50.00%,40,"1,183",0.03,52.92%,01/04/2021
Call,147,-22.76%,0.01,0.01,0.01,0.01,0,unch,51,"1,665",0.03,54.54%,01/04/2021
Call,148,-23.59%,0.01,0.01,0.01,0.01,-0.01,-50.00%,31,"2,018",0.02,56.13%,01/04/2021
Call,149,-24.43%,0.01,0.01,0.01,0.01,0,unch,68,"1,806",0.04,57.72%,01/04/2021
Call,150,-25.26%,0.01,0.01,0.01,0.01,0,unch,50,"4,206",0.01,59.28%,01/04/2021
